topic,avg_rating,n,std,ratings,freq,pol_points,ME,residuals,comment_length
islam,4.824821852731591,8420,0.736446194074701,[3 5 1 4 2],[  17 1570   48   39   10],1.950712589073634,0.015730157365883318,0.01282382244101532,177.04750593824227
news-sports-news,4.479803462263612,87515,1.2150057450076728,[1 5 4 2 3],[ 1447 14309   660   483   604],1.8656801691138662,0.008049801549505924,0.00845220364018795,204.6316631434611
sports-basketball,4.61247574161353,90175,1.0734229948505727,[5 3 1 2 4],[15590   468  1112   370   495],1.9001386193512615,0.0070060931953726,0.011893604817004633,200.82046021624618
sports-baseball,4.648123393316196,48625,1.0099697494478737,[5 2 1 3 4],[8470  229  485  254  287],1.8947043701799486,0.008976905427345897,-0.0018746005294321133,217.83856041131105
sports-fantasy-sports,4.628656420426376,110935,1.0367454530178246,[5 1 4 3 2],[19179  1196   684   613   515],1.8907017622932347,0.006100788039011535,-0.0013260839752069487,211.02397800513813
kids-family-education-for-kids,4.713295579410024,59155,0.8690578133811349,[5 4 3 1 2],[10305   648   294   404   180],1.8803144281971094,0.007003272579614555,-0.03150094987153529,241.8505620826642
science-astronomy,4.522222222222222,4950,1.1742227651227157,[5 3 2 4 1],[826  28  31  32  73],1.8797979797979798,0.03271116317919182,0.012653061324232828,226.6
science-physics,4.635775862068965,2320,1.0079919017036396,[5 2 1 4 3],[398  10  23  19  14],1.8771551724137931,0.04101674016509939,-0.01653710648363571,249.32543103448276
sports-running,4.891992853662498,30785,0.5550973424147146,[5 4 2 3 1],[5875   92   41   73   76],1.9546857235666721,0.006200799090258621,0.0010932527274867265,249.93064804287803
sports-wrestling,4.578386605783866,52560,1.1313729283022398,[5 1 3 2 4],[9036  754  238  228  256],1.908675799086758,0.009672220649467414,0.02840038003727252,214.74895357686452
buddhism,4.773038842345773,6565,0.7738911557569993,[5 2 4 1 3],[1180   23   51   30   29],1.8994668697638994,0.01872020538732781,-0.02631570421482543,226.3145468392993
